symbol,address,volatility,ml_score,whale_score,social_score,confidence_score,risk_profile,dynamic_stop_loss,tp1,tp2,tp3,tp4,exit_pct_tp1,exit_pct_tp2,exit_pct_tp3,exit_pct_tp4,expected_return,risk_reward_ratio,updated_at
FLY,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,0.1337078172770815,5028.748381936188,50.0,50,2041.4993527744755,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.897650
AUSBAGWORK,9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,0.2460350263311245,2749.7205644621454,50.0,50,1129.8882257848582,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.897858
SLOW,9iQikUHRe69UScUaytfQabQDmZRqtTkjCEF94ZV5pump,0.0630534940623769,0.0,49.3,50,29.755,conservative,0.1409171267936174,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.5481847478502995,2025-11-11T17:47:48.898125
2,9kfdKdj5yiZgozQB9V6qRvBxat5WKHcpNESNjAPxpump,0.0142010436566772,0.0,49.3,50,29.755,conservative,0.13758025406209978,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.6342424529490573,2025-11-11T17:47:48.898464
SOL,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,0.5473860434374979,3705.5204455250164,50.0,50,1512.2081782100065,conservative,0.08,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,6.25,2025-11-11T17:47:48.898705
FARTWORM,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,0.1597559902534405,1008.6819284912511,66.3,50,439.1777713965005,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.898959
XBT,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,0.3132565426611402,1668.5189381825733,50.0,50,697.4075752730294,moderate,0.08,0.35,0.75,1.25,2.0,0.35,0.3,0.25,0.1,0.86,10.75,2025-11-11T17:47:48.899194
RUECAT,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,0.283963535126397,3027.657509727325,50.0,50,1241.06300389093,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.899407
KENNY,AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,0.0266194743179896,0.0,49.3,50,29.755,conservative,0.13842849652072456,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.6119730587779912,2025-11-11T17:47:48.899672
MMGA,Axix4KAvD9m5iYvUx7wztZnKJfJs7KXxPzPmMv6Npump,0.0166543346881622,1466.3076921080124,50.7,50,616.768076843205,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.899919
Supershiro,B1PrDviUajpkxghL1v2w2P8jnxu3FNjcxUDdBNanPLyR,0.0295984535173928,0.0,49.3,50,29.755,conservative,0.1386319760673122,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.606671521130356,2025-11-11T17:47:48.900183
DREAM,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.2312338372681967,3598.932820347222,50.0,50,1469.573128138889,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.900397
