date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,whale_transfers_24h,large_buys,large_sells,net_whale_flow_usd,top_10_holders_pct,holder_concentration
2025-10-01,FARTWORM,FARTWORM,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,1.914e-05,2157.62,18082.41,19037.0,dexscreener,ok,0,,,,,,
2025-10-01,IDIOT,IDIOT,GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,2.614e-05,1997.97,22381.22,26145.0,dexscreener,ok,0,,,,,,
2025-10-01,1,1 pill can change your life,qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,6.998e-06,1939.0,10485.2,6996.0,dexscreener,ok,0,,,,,,
2025-10-01,FARTLESS,FARTLESS COIN,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,0.0009206,1914.58,3898.87,920614.0,dexscreener,ok,0,,,,,,
2025-10-01,APOLLO,Apollo AI,6k1rwsNMBwbRJrWck3sEVCjn4MvF9ty8A6iSGfxjxREV,1.986e-05,1893.86,9318.98,19867.0,dexscreener,ok,0,,,,,,
2025-10-01,$CrepSol,Crepe on Solana,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,2.93e-05,1690.77,21427.45,29302.0,dexscreener,ok,0,,,,,,
2025-10-01,DARE,DareCoin,4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,9.171e-06,1369.57,13685.87,9081.0,dexscreener,ok,0,,,,,,
2025-10-01,Hosico,Hosico Cat,HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,5.982e-06,1158.81,9638.06,5978.0,dexscreener,ok,0,,,,,,
2025-10-01,grandma,101 Year Old Pumpfun Livestreamr,4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,1.265e-05,941.98,16380.08,12435.0,dexscreener,ok,0,,,,,,
2025-10-01,AUSBAGWORK,AUSSIE BAG WORKERS,9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,2.335e-05,864.15,23195.42,23349.0,dexscreener,ok,0,,,,,,
2025-10-01,1% Club,The 1% Club,HpQUbEAcHrhwSJyYfXLNZvJz9SBksRJJStn86gFdbonk,4.589e-06,759.61,7112.64,4589.0,dexscreener,ok,0,,,,,,
2025-10-01,SUPRACOIN,GIVING CAR AWAY AT 10MIL MC!,LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,1.046e-05,687.65,14446.99,10461.0,dexscreener,ok,0,,,,,,
2025-10-01,19,Cult of 19,8AgJibpuXYU79bMSzhBv9BCUioxYkoeRVDYz3Tjopump,4.526e-06,642.75,8417.78,4520.0,dexscreener,ok,0,,,,,,
2025-10-01,RWA,Real World Asses,7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,1.01e-07,582.43,9274.73,6974.0,dexscreener,ok,0,,,,,,
2025-10-01,HOODIE,Hoodie,JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,0.0003176,206.62,69742.26,317691.0,dexscreener,ok,0,,,,,,
2025-10-01,Jewcat,Jewish Cat,7oBcd1aAkUjUTcfZsR3rQvnG5oMPDzjX9uDnRVn6pump,6.292e-06,205.44,0.0,6292.37,dexscreener,ok,0,,,,,,
2025-10-01,MINDWORMS,mindworms,iD9FqgeKmp58a4pTvh45MtKkHkudKNptFRdR8m6pump,4.784e-06,199.06,8673.87,4784.0,dexscreener,ok,0,,,,,,
2025-10-01,retail,retail,6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,4.28e-06,136.0,8306.22,4277.0,dexscreener,ok,0,,,,,,
2025-10-01,obvious,in hindsight,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,5.259e-06,132.59,9058.29,5257.0,dexscreener,ok,0,,,,,,
2025-10-01,7,7 Coin,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,9.445e-06,102.52,12495.07,9442.0,dexscreener,ok,0,,,,,,
2025-10-01,FLY,Nexa,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,0.01512,74.93,135.9,15127.0,dexscreener,ok,0,,,,,,
2025-10-01,HAMSTERUN,Hamster Runner,FwYBWjDBDqqfLQYewPZm1Vv555ireHpgUyJP4rMYpump,4.477e-06,59.08,8595.59,4476.0,dexscreener,ok,0,,,,,,
2025-10-01,BLUB,Blub,HxMQWY4DLbUrPXyejuKvu2KJ618zdTRs9dXEuFGrpump,5.164e-06,56.03,9134.9,5001.0,dexscreener,ok,0,,,,,,
2025-10-01,AI20X,Ai20x.ai,DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,1.26,51.32,2856793.86,26561845.0,dexscreener,ok,0,,,,,,
2025-10-01,YAO,YAO MING,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,0.0001332,29.86,897.45,133176.0,dexscreener,ok,0,,,,,,
2025-10-01,Noxi,Noxi Labs AI,F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,6.146e-06,26.12,9891.75,6144.0,dexscreener,ok,0,,,,,,
2025-10-01,Bagwork,African Bagwork,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,5.067e-06,23.09,9463.24,5036.0,dexscreener,ok,0,,,,,,
2025-10-01,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.831e-06,20.77,10623.41,6293.0,dexscreener,ok,0,,,,,,
2025-10-01,ORE,Ore Labs,4w4Kj3PmKjJWpsBVCNPeziC2ySdJ6A7cPfqnhyXxpump,4.17e-06,16.67,8050.02,4168.0,dexscreener,ok,0,,,,,,
2025-10-01,BULLCOIN,BULLCOIN,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,6.064e-06,10.79,9904.93,6061.0,dexscreener,ok,0,,,,,,
2025-10-01,Mementoe,Mementoe,GCU5AT6U8bKYK76KBssLf5a3a3KoNoMGStaVdfeipump,4.533e-06,9.45,8438.99,4533.0,dexscreener,ok,0,,,,,,
2025-10-01,Streamless,Streamless coin,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,5.416e-06,6.34,9441.14,5397.0,dexscreener,ok,0,,,,,,
2025-10-01,NeverDie,MEMES WILL NEVER DIE,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,4.051e-06,5.06,7946.58,4049.0,dexscreener,ok,0,,,,,,
2025-10-01,REVIVE,reviving the memes,4Y6HDaV4374KstQX8qD1L35WiQDwHZaHLez8xs6GrKcf,5.906e-06,3.3,11302.56,5904.0,dexscreener,ok,0,,,,,,
2025-10-01,KENNY,KENNY KO,AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,4.372e-06,2.26,8259.79,4372.0,dexscreener,ok,0,,,,,,
2025-10-01,viewer,in a streamers world,8X4TnmkHzavxEJuaYTkqjFbUgrwBgaXVuRHhGFR2pump,5.101e-06,2.04,9400.45,5089.0,dexscreener,ok,0,,,,,,
2025-10-02,wSOL,Wrapped SOL,So11111111111111111111111111111111111111112,224.21,273677061.63,55970866.16,0.0,dexscreener,ok,0,,,,,,
2025-10-02,67,67coin,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,0.0002109,1008177.73,80684.73,210623.0,dexscreener,ok,0,,,,,,
2025-10-02,XBT,XBT,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,0.002344,295773.41,475031.37,2343371.0,dexscreener,ok,0,,,,,,
2025-10-02,Useless,Useless Coin,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,0.0002254,240068.21,73563.77,225448.0,dexscreener,ok,0,,,,,,
2025-10-02,1nu,1nu,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,0.0002086,193233.18,57439.18,208659.0,dexscreener,ok,0,,,,,,
2025-10-02,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,4.016e-05,110479.88,26675.7,39756.0,dexscreener,ok,0,,,,,,
2025-10-02,USDUT,unstable tether,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,0.0006397,91492.08,166990.72,639619.0,dexscreener,ok,0,,,,,,
2025-10-02,USEFUL,USEFUL COIN,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,0.0002239,88560.81,106667.13,223900.0,dexscreener,ok,0,,,,,,
2025-10-02,CHARLIE,RIP CHARLIE KIRK,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,0.000433,74895.19,136357.94,433013.0,dexscreener,ok,0,,,,,,
2025-10-02,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,5.536e-05,69189.28,30755.91,55360.0,dexscreener,ok,0,,,,,,
2025-10-02,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,0.0001522,59686.15,81765.93,152280.0,dexscreener,ok,0,,,,,,
2025-10-02,early,not wrong just early,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,0.0002651,43778.32,69185.7,265116.0,dexscreener,ok,0,,,,,,
2025-10-02,gib,gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,0.0004933,42042.81,182117.74,493308.0,dexscreener,ok,0,,,,,,
