date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,volume_7d_avg,volume_momentum_pct,volume_trend,volume_spike,volume_spike_label,price_change_pct,divergence_status,liquidity_trend_pct,liquidity_trend,momentum_signal
2025-10-07,SLOW,Slow Runner,9iQikUHRe69UScUaytfQabQDmZRqtTkjCEF94ZV5pump,4.614e-06,3.01,8892.9,7.013333333333333,-57.081749049429654,dead,False,,-5.913539967373572,none,0.0,stable,HOLD
2025-10-07,CRND,Crundle,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,0.0001104,8696.6,59184.04,20625.976666666666,-57.83666324972408,dead,False,,-3.0728709394205467,none,-7.5917457800430785,stable,HOLD
2025-10-07,FATMEOW,BIG FAT CAT,6UMuZxH9jLT3txQkQo6jWXX2HpHrM1mPkGRjE66pzhEp,7.082e-06,6.92,13739.24,19.0025,-63.58373898171293,dead,False,,-5.774348057477374,none,-3.2738746869779343,stable,HOLD
2025-10-07,Streamless,Streamless coin,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,5.983e-06,5.94,10405.25,19.611666666666668,-69.71190617829522,dead,False,,-0.8780649436713084,none,1.282820004166083,stable,HOLD
2025-10-07,2,TWO IS BETTER THAN ONE,9kfdKdj5yiZgozQB9V6qRvBxat5WKHcpNESNjAPxpump,6.587e-06,3.45,0.0,12.416666666666666,-72.21476510067113,dead,False,,-2.008330853912532,none,0.0,stable,HOLD
2025-10-07,AMG,ASCII MEME GENERATOR,6rhFUUZsUbjD4tSHrLetmCuvuM3L2ASTLEAgemZtpump,6.727e-06,4.95,0.0,19.345000000000002,-74.41199276298785,dead,False,,0.05949724825227154,none,0.0,stable,HOLD
2025-10-07,MOON,Moon Moon,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,1.067e-05,151.07,14075.99,616.795,-75.5072593000916,dead,False,,-1.7495395948434633,none,1.188876691963898,stable,HOLD
2025-10-07,1dog,1 dog can change your life,8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,1.211e-05,945.25,14855.24,3859.3916666666664,-75.50779807698537,dead,False,,-3.429027113237648,none,1.2493235386731356,stable,HOLD
2025-10-07,Pochita,Pochita,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,5.921e-06,5.1,10176.77,33.678333333333335,-84.85673281536101,dead,False,,-0.8705842959986665,none,2.027666494227291,stable,HOLD
2025-10-07,67,67coin,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,9.697e-05,27238.89,55169.03,194575.18500000003,-86.00084075469337,dead,False,,2.407857218291265,none,4.086421360260061,stable,HOLD
2025-10-07,BITX,Mega Bitminer X,BiTXcnGHmSvX6pwhZPmhsctjG3NjzMbTXtM2b7h5nDZC,1.615e-06,0.37,3175.99,3.445,-89.25979680696662,dead,False,,3.7917737789203043,none,0.0,stable,HOLD
2025-10-07,MMGA,MAKE MEMES GREAT AGAIN,Axix4KAvD9m5iYvUx7wztZnKJfJs7KXxPzPmMv6Npump,4.28e-06,1.2,8411.96,13.875,-91.35135135135137,dead,False,,0.0,none,3.200430862620815,stable,HOLD
2025-10-07,Noxi,Noxi Labs AI,F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,5.809e-06,2.56,9659.94,34.315,-92.53970566807519,dead,False,,-6.592699790963186,none,-5.169939273043548,stable,HOLD
2025-10-07,Bagwork,African Bagwork,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,5.25e-06,0.64,9864.69,12.63,-94.93269992082342,dead,False,,-1.1113203993219134,none,0.9521421663690459,stable,HOLD
2025-10-07,FLY,Nexa,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,0.01621,2.68,9014.0,66.23285714285714,-95.95366995233267,dead,False,,2.4652338811630647,none,5954.540569586245,increasing,HOLD
2025-10-07,FARTWORM,FARTWORM,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,9.339e-06,57.37,12746.78,1555.58,-96.31198652592603,dead,False,,-7.259185700099302,none,-7.158334662579141,stable,HOLD
2025-10-07,19,Cult of 19,8AgJibpuXYU79bMSzhBv9BCUioxYkoeRVDYz3Tjopump,4.61e-06,70.7,8573.91,1988.982,-96.4454178066971,dead,False,,-8.459094519459887,none,-13.276501569313274,stable,HOLD
2025-10-07,1cat,1 cat can change your life,8ghXDEBVbbYtfdV2cU8jpqsNmiZtDkSjBYmRzj8cpump,6.729e-06,0.98,0.0,29.65,-96.69477234401349,dead,False,,-0.6643046944198372,none,0.0,stable,HOLD
2025-10-07,ORE,Ore Labs,4w4Kj3PmKjJWpsBVCNPeziC2ySdJ6A7cPfqnhyXxpump,4.185e-06,0.16,8126.34,6.712000000000001,-97.61620977353994,dead,False,,-5.445097153185719,none,-3.4736624546549555,stable,HOLD
2025-10-07,pibble,pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,5.505e-06,49.37,8194.95,3112.68,-98.41390698690518,dead,False,,-2.376307856002835,none,-9.087227981113982,stable,HOLD
2025-10-07,BLUB,Blub,HxMQWY4DLbUrPXyejuKvu2KJ618zdTRs9dXEuFGrpump,4.973e-06,0.35,9184.78,23.503999999999998,-98.51089176310414,dead,False,,0.974619289340084,none,0.5460377234562066,stable,HOLD
2025-10-07,REVIVE,reviving the memes,4Y6HDaV4374KstQX8qD1L35WiQDwHZaHLez8xs6GrKcf,5.982e-06,0.29,11698.02,25.451999999999998,-98.86060034574886,dead,False,,0.7070707070707005,none,1.1286833928969828,stable,HOLD
2025-10-07,Jewcat,Jewish Cat,7oBcd1aAkUjUTcfZsR3rQvnG5oMPDzjX9uDnRVn6pump,6.33e-06,1.1,0.0,103.27,-98.93483102546723,dead,False,,0.6039415130324244,none,0.0,stable,HOLD
2025-10-07,RWA,Real World Asses,7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,7.611e-08,0.76,8095.4,329.93285714285713,-99.7696501019688,dead,False,,-0.03940110323089607,none,-2.8257756448652636,stable,HOLD
2025-10-07,7,7 Coin,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,1.173e-05,0.74,14434.64,357.04833333333335,-99.79274514654878,dead,False,,0.0,none,2.4655523304307208,stable,HOLD
2025-10-06,PILL,PumpFun Pill,8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,9.043e-06,1604.79,12490.55,314.2314285714286,410.70321237304626,explosive,True,🔥 SPIKE,43.74503258623428,none,20.093359100829737,increasing,BUY
2025-10-06,DREAM,Dreamsync,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.001798,423650.11,196698.2,133389.75400000002,217.60318712335277,explosive,True,🔥 SPIKE,3.571428571428581,none,-5.838159351344877,stable,BUY
2025-10-06,$CrepSol,Crepe on Solana,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,3.864e-05,8426.13,25314.29,2903.194,190.23654636927466,explosive,True,🔥 SPIKE,38.29634931997137,none,14.616750950714104,stable,BUY
2025-10-06,FARTLESS,FARTLESS COIN,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,0.001362,3066.95,4764.89,1456.345,110.59227037549479,explosive,True,🔥 SPIKE,42.453718230310635,none,21.029677720881093,increasing,BUY
2025-10-06,XBT,XBT,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,0.001575,437730.56,400607.09,227301.44166666665,92.57711556529577,surging,False,,-10.865874363327666,bullish,2310206.1707035755,increasing,BUY
2025-10-06,Noxi,Noxi Labs AI,F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,6.219e-06,105.72,10273.57,40.666,159.97147494221218,explosive,True,🔥 SPIKE,-0.6708193579300414,none,2.431989152163835,stable,WATCH
2025-10-06,SLOW,Slow Runner,9iQikUHRe69UScUaytfQabQDmZRqtTkjCEF94ZV5pump,4.904e-06,12.38,9435.85,9.015,37.32667775929007,rising,False,,3.003570678428913,none,0.0,stable,WATCH
2025-10-06,Gaming,Gaming Cult,3hiutVNCbwCY1vmoPKdXtMtuzg4epn1WzuU1jgpHpump,6.454e-06,13.04,0.0,9.613333333333333,35.64493758668515,rising,False,,-1.0881226053639836,none,0.0,stable,WATCH
2025-10-06,wSOL,Wrapped SOL,So11111111111111111111111111111111111111112,233.6,330220735.03,58413684.46,272754096.49,21.06902857904716,rising,False,,2.2498468003151473,none,2.8727735580630283,stable,WATCH
2025-10-06,USEFUL,USEFUL COIN,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,0.0001891,20540.08,100566.92,30557.818333333333,-32.782897731955224,declining,False,,-17.746846454980435,none,164467.04303714613,increasing,SELL
2025-10-06,VIBECODER,Vibe Coding Meta,7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,0.0001391,7614.35,56938.16,13322.488000000001,-42.84588584354514,declining,False,,5.940594059405946,bearish,-7.761099683924947,stable,SELL
2025-10-06,CRND,Crundle,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,0.0001139,10666.12,61529.58,23011.852,-53.64944985740391,dead,False,,-15.878877400295421,none,-14.151112931751836,stable,SELL
2025-10-06,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,2.629e-05,13550.33,22082.97,30656.126,-55.7989486342795,dead,False,,-48.551859099804304,none,-17.216905273338654,stable,SELL
2025-10-06,Useless,Useless Coin,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,0.0001378,40365.97,59430.32,91387.34199999999,-55.82980189969853,dead,False,,-12.67427122940431,none,-19.212514529910585,stable,SELL
2025-10-06,1,1 pill can change your life,qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,4.762e-06,336.86,8878.26,814.2471428571428,-58.629268403941936,dead,False,,-42.7987987987988,none,-9.185052285087973,stable,SELL
2025-10-06,1,1 pill can change your life,8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,8.329e-06,191.72,12877.86,699.1857142857143,-72.57953129150235,dead,False,,74.90550188996217,bearish,44.83810415005384,increasing,SELL
2025-10-06,grandma,101 Year Old Pumpfun Livestreamr,4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,1.082e-05,112.34,15688.74,479.166,-76.55509781578827,dead,False,,6.811451135241864,bearish,-4.067697323646794,stable,SELL
2025-10-06,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,2.718e-05,5538.1,22517.46,27617.22333333333,-79.94693408111145,dead,False,,7.303592577970797,bearish,-30.17711957431767,decreasing,SELL
2025-10-06,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,7.201e-05,6935.31,65384.01,36316.32,-80.90304854676906,dead,False,,68.16907986921998,bearish,-20.0351417760429,decreasing,SELL
2025-10-06,1SOL,1SOL,mDJpLmXubnSYmesFYSeYck9AxmA76rpn6nnAs9ppump,4.79e-06,3.69,9274.95,20.253333333333334,-81.78077682685976,dead,False,,-27.719933604949453,none,0.0,stable,SELL
2025-10-06,1dog,1 dog can change your life,8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,1.254e-05,595.96,15451.95,4442.219999999999,-86.58418538478509,dead,False,,9.138381201044377,bearish,-6.861651854816538,stable,SELL
2025-10-06,67,67coin,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,9.469e-05,21144.61,55579.6,228042.444,-90.72777434362175,dead,False,,-0.29482994629882464,none,-31.115094516645218,decreasing,SELL
2025-10-06,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.291e-06,7.4,10400.7,86.80714285714285,-91.47535587920677,dead,False,,-18.584185324187917,none,-7.799626613619562,stable,SELL
2025-10-06,FARTWORM,FARTWORM,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,1.007e-05,77.72,13456.11,1855.2220000000002,-95.81074394331245,dead,False,,-0.8858267716535306,none,-24.526076319128236,decreasing,SELL
2025-10-06,ELIZABETH,Just Elizabeth Cat,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,0.001752,25.27,61.51,187550.58833333335,-99.98652630193028,dead,False,,-7.15421303656597,none,-99.97423126773197,decreasing,SELL
2025-10-06,1SOL,1 SOL and a dream,8D7n3WYZxUkmhUPveQU4XZdqLfDe4XLEEpPToAk4pump,6.627e-06,53.38,0.0,28.535,87.0685123532504,surging,False,,38.350730688935286,none,0.0,stable,HOLD
2025-10-06,HAROLD,Harold,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.003697,18019.37,575756.96,9798.841999999999,83.89285182881815,surging,False,,-3.0167890870933856,none,-5.5243537632144655,stable,HOLD
2025-10-06,USDUT,unstable tether,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,0.000321,99101.49,121516.83,93574.03199999999,5.907042671838714,stable,False,,-18.112244897959183,none,-27.23138746871682,decreasing,HOLD
2025-10-06,BITX,Mega Bitminer X,BiTXcnGHmSvX6pwhZPmhsctjG3NjzMbTXtM2b7h5nDZC,1.556e-06,6.52,3059.61,6.52,0.0,stable,False,,,none,0.0,stable,HOLD
2025-10-06,gib,gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,0.0003853,23718.12,164513.64,23785.095,-0.28158390790535914,stable,False,,-42.17319525739157,none,196334.1970149254,increasing,HOLD
2025-10-06,2,TWO IS BETTER THAN ONE,9kfdKdj5yiZgozQB9V6qRvBxat5WKHcpNESNjAPxpump,6.722e-06,16.51,0.0,16.9,-2.30769230769229,stable,False,,0.0,none,0.0,stable,HOLD
2025-10-06,BULLCOIN,BULLCOIN,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,6.186e-06,13.79,10270.89,14.139999999999997,-2.4752475247524606,stable,False,,-0.4025116728385236,none,0.756738197424887,stable,HOLD
2025-10-06,RUECAT,Rue Cat,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,0.000467,25617.45,88315.89,27116.266000000003,-5.527368701870686,stable,False,,-1.1012282930961348,none,-11.282049118399675,stable,HOLD
2025-10-06,Bagwork,African Bagwork,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,5.309e-06,14.03,9958.1,15.028,-6.6409369177535345,stable,False,,0.5682894487592405,none,3.3388125806839906,stable,HOLD
2025-10-06,GAZABOY,GAZA BOY,Fk6e19okXWGxtrHmXBLzkFeDPR2uuyeVYsqGyt89pump,4.422e-06,52.6,8568.02,57.54666666666666,-8.595922150139005,stable,False,,-3.026315789473688,none,0.0,stable,HOLD
