date,symbol,name,address,price_usd,price_change_1d,price_change_3d,price_change_5d,price_change_7d,volatility_5d,volatility_10d,momentum_3d,volume_24h_usd,volume_change_1d,volume_change_3d,volume_ma_3d,volume_ma_7d,volume_momentum,liquidity_usd,liquidity_change_1d,liquidity_change_3d,volume_to_liquidity,top_10_holders_pct,top_5_holders_pct,concentration_numeric,concentration_risk_numeric,whale_change_3d,signal,signal_numeric,score,vol_mom_3v1,vol_mom_5v3,zscore_vol_10d,zscore_liq_10d,macd,macd_signal,macd_histogram,atr_14,stoch_k,stoch_d,adx_proxy,ma_convergence,price_vs_sma20,price_trend_7d,volume_ratio_3v7,liquidity_momentum_7d,volume_profile_3d,liquidity_depth,volume_acceleration,pv_correlation_3d,liquidity_volatility_7d,volume_concentration,turnover_ratio,turnover_ratio_ma7,liquidity_efficiency,volume_consistency_7d,beta_vs_market,alpha_vs_market,relative_strength_7d,volume_share,liquidity_share,market_correlation_7d,outperform_streak,market_divergence,whale_accumulation_velocity,whale_concentration_spread,whale_trend_7d,whale_volatility_7d,whale_momentum_strength,whale_price_correlation_7d,whale_activity_score,whale_buy_pressure,whale_net_flow_norm,whale_regime,whale_confidence_score,holder_risk_score,whale_intel_score,social_momentum_score,social_velocity_zscore,social_mentions_24h,social_momentum_numeric,social_price_correlation_7d,social_strength,combined_intelligence_score,hype_indicator,stealth_accumulation,market_regime,market_regime_confidence,market_volatility,volatility_regime,liquidity_regime,sector_momentum,sector_relative_perf,regime_alignment_score,momentum_1d,momentum_14d,momentum_acceleration,momentum_strength,momentum_consistency_7d,momentum_reversal,momentum_zscore_14d,volume_weighted_momentum,momentum_divergence,trend_strength,momentum_regime,composite_momentum_score,target_return_1d,target_pump_1d,target_dump_1d,target_return_3d,target_pump_3d,target_dump_3d,target_return_5d,target_pump_5d,target_dump_5d,target_return_7d,target_pump_7d,target_dump_7d
2025-10-06,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.291e-06,0.0,-0.10025743707093815,0.0,0.0,0.04742660049631648,0.04742660049631648,-0.03385266357328365,7.4,0.0,-0.422776911076443,84.02,57.129999999999995,0.1273008773438844,10400.7,0.0,-0.03732965815470357,0.0007114221713758328,97.54,0.0,3.0,0,0.0,0,0.0,0.0,,,0.0,0.0,-9.150685113902295e-08,-3.031671806297185e-08,-6.11901330760511e-08,2.1549999999999988e-07,0.0,0.0,0.03128175357221863,,-0.04077151787756337,,1.4453810424909685,0.0,0.879330193615908,1653240291.8408544,0.9688105875410942,1.0000000000000286,0.01775532440942318,4.081541372785137,0.0007114221713758328,0.0054127027828576235,0.0,1.734808537278875,,,,2.2309471806245524e-08,0.00015614616863699227,,0,0.0036665510239054125,,97.54,,0.0,0.0,,0.0,0.0,0.0,0,0.0,100,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.141678297606785,1,0,0,0,20,0.0,0.0,-0.007856341189674525,1.1120112492303524,0.14285714285714285,0,-0.846257387597834,-0.004309473773306365,0,0.004836094796183378,1,15.102927140101729,0.024425989252564673,0,0,,0,0,,0,0,,0,0
2025-10-07,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.141e-06,-0.023843586075345757,-0.03851573508689521,-0.101010101010101,0.0,0.04111860853325709,0.04111860853325709,-0.012958038946987771,5.39,-0.27162162162162173,-0.9772823063306078,6.73,48.50666666666667,0.10887422569350928,10161.92,-0.022958070129895147,-0.03625865875587053,0.0005303593849011898,97.67,96.57,4.0,4,0.0,0,0.0,0.0,,,0.0,0.0,-1.2483209436961957e-07,-4.92197933243014e-08,-7.561230104531818e-08,2.0239999999999996e-07,0.0,0.0,0.029794120072844054,,-0.05360408490352811,,0.13594128736870456,0.0,0.06913436515545815,1654739378.9386265,-0.27162162162162173,1.0000000000026885,0.01731366682963166,0.14947481820630218,0.0005303593849011898,0.004598978883198218,1.4409269748955496e-11,1.8712281714635663,0.30123683344587143,-0.00016996928094484623,,1.3150685058672136e-08,0.00016265211667183303,,1,0.054744468790311196,,1.1000000000000085,,0.07505553499464668,0.0,,0.0,,,0,0.0,100,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.15740622086366252,1,0,0,0,20,-0.023843207070305707,0.0,0.020894624626295877,0.49701814975910874,0.14285714285714285,-1,1.4038788245911533,-0.00141079645685963,0,0.001851148420998253,1,14.619934572741844,,0,0,,0,0,,0,0,,0,0
2025-10-01,NeverDie,MEMES WILL NEVER DIE,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,4.051e-06,0.0,0.0,0.0,0.0,,,0.0,5.06,0.0,0.0,,,0.0,7946.58,0.0,0.0,0.000636671791916533,,0.0,0.0,0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.834983498349835,1961585742.144109,,,,0.834983498349835,0.000636671791916533,,,,,,,1.9346611099191095e-08,0.00012291502419642074,,0,,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,,1,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,1,0.0,0.0012357884330203017,0,0,-0.03317422434367534,0,0,,0,0,,0,0
2025-10-02,NeverDie,MEMES WILL NEVER DIE,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,4.046e-06,-0.0012342631449024921,0.0,0.0,0.0,,,0.0,8.22,0.6245059288537551,0.0,6.640000000000001,,0.0,7945.7,-0.00011073946276263236,0.0,0.0010343916342632792,,0.0,0.0,0,0.0,0,0.0,0.0,,,0.0,0.0,-3.9886039886074496e-10,-7.9772079772149e-11,-3.1908831908859595e-10,,0.0,0.0,,,,,,0.0,0.9299719887955182,1963792293.8137958,,,,1.0759162303664922,0.0010343916342632792,0.0008355317130899062,6.285100256226605e-13,0.2924682498101427,,,,2.9769180373861177e-08,0.00013032914118836823,,0,0.18134075078151685,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.5246396721711976,2,0,0,0,25,-0.0012342326775443588,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,1,0.0,-0.03436754176610979,0,0,,0,0,,0,0,,0,0
2025-10-04,NeverDie,MEMES WILL NEVER DIE,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,4.19e-06,0.035590706870983535,0.0,0.0,0.0,0.026039186015224293,,0.01717822186304052,6.66,-0.1897810218978102,0.0,6.646666666666666,6.646666666666666,0.870967741935484,8237.7,0.03674943680229559,0.0,0.0008083799628582179,,0.0,0.0,0,0.0,Watch,2.0,1.41,2.99,1.0,0.01,1.41,1.0780367042474893e-08,2.0922557446772597e-09,8.688111297797634e-09,7.449999999999988e-08,99.93060374739764,49.96530187369882,0.018412485007943014,,,,0.8692240627724499,0.0,0.9522445081184336,1965991265.1249375,-0.8142869507515653,-0.023281852401125822,0.026064080592754096,1.0749782040104623,0.0008083799628582179,0.0008264811296793433,1.8103186673477803e-11,0.20663149871788708,,,,4.010403484265429e-08,0.00012530861925058275,,1,0.11754263869510692,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.17187538067469862,1,0,0,0,45,0.03558982724104689,0.0,0.0,0.0,0.14285714285714285,0,0.0,0.014961677106519166,0,0.002454031694720074,1,0.0,0.0,0,0,,0,0,,0,0,,0,0
2025-10-05,NeverDie,MEMES WILL NEVER DIE,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,4.19e-06,0.0,0.03431251542828928,0.0,0.0,0.020913712558024558,0.020913712558024558,0.01145214790869368,6.47,-0.028528528528528607,0.2786561264822134,7.116666666666667,6.6025,0.8510358434725419,8237.7,0.0,0.03663462772664472,0.0007853180720259264,99.63,0.0,3.0,0,0.0,0,0.0,0.0,,,0.0,0.0,1.9416167835060206e-08,5.557038162753849e-09,1.3859129672306357e-08,4.966666666666659e-08,99.93060374739764,66.6204024982651,0.012274990005295342,,,,0.9360955825934452,0.0,0.7789128055454214,1965991265.1249375,0.1612524933692816,-0.995093890354051,0.02124933709870221,1.0812232818151926,0.0007853180720259264,0.0008161903652659891,0.0,0.1700913663828722,,,,2.2365184341339777e-08,0.00012649197955535825,,2,0.005888628715442373,,99.63,,,0.0,,0.0,0.0,0.0,0,0.0,100,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.1306030859351631,0,0,0,0,25,0.0,0.0,-0.005726073954346841,0.7999999944115288,0.14285714285714285,1,-0.7071067637225751,0.009746188355047434,0,0.0016360211298133828,1,14.689316397019082,,0,0,,0,0,,0,0,,0,0
2025-10-01,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,7.615e-05,0.0,0.0,0.0,0.0,,,0.0,109441.57,0.0,0.0,,,0.0,65850.04,0.0,0.0,1.6619565917258106,,0.0,0.0,0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.9999908627876702,864740033.1713288,,,,0.9999908627876702,1.6619565917258106,,,,,,,0.00041844337803851765,0.001018546250076797,,0,,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,,1,1,0,0,70,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,1,0.0,-0.49967148488830493,0,1,0.7783745913124707,1,0,0.5452516233766231,1,0,,0,0
2025-10-02,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,0.0001522,0.9986868023637561,0.0,0.0,0.0,,,0.0,59686.15,-0.45462999114504665,0.0,84563.86,,0.0,81765.93,0.24169901795048276,0.0,0.7299546405863594,,0.0,0.0,0,0.0,Watch,2.0,1.0,2.83,1.0,-1.0,1.0,6.0666666666666605e-06,1.2133333333333322e-06,4.853333333333328e-06,,99.99986850773372,99.99986850773372,,,,,,0.0,0.9999940873436516,537226519.5620763,,,,1.2941731352715538,0.7299546405863594,1.195955616156085,1.858967802218405e-09,0.4160403610055615,,,,0.0002161566624296027,0.001341163577201283,,1,0.8185803147271418,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.5246396721711976,2,1,0,0,50,0.9986854908923302,0.0,0.0,0.0,0.14285714285714285,0,0.0,0.0,0,,1,0.0,1.9878288182175115,1,0,1.1135953339813915,1,0,,0,0,,0,0
2025-10-04,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,5.094e-05,-0.6653088042049935,0.0,0.0,0.0,1.1766225772693852,,0.16668899907938128,2062.75,-0.965440056026398,0.0,57063.49,57063.49,0.0361476988579062,57459.08,-0.29727357103380336,0.0,0.03589883620071535,,0.0,0.0,0,0.0,0,0.0,0.0,,,0.0,0.0,2.672896486229819e-06,1.5052459639126297e-06,1.1676505223171894e-06,8.865500000000001e-05,0.0,49.99993425386686,0.8319978032843748,,,,0.9999824759671032,0.0,0.9999941585874577,1127973443.3187215,-0.5108100648813514,0.27994615549383345,0.3811111725444586,1.9178576729591381,0.03589883620071535,0.8092700228376284,5.8982665606694e-10,0.9416965110434593,,,,1.2421110791544313e-05,0.000874044694296803,,0,0.5833568723808701,,,,,0.0,,0.0,,,0,0.0,25,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.17187538067469862,1,1,0,0,45,-0.6653083670772884,0.0,0.0,0.0,0.14285714285714285,0,0.0,0.006025423741647279,0,0.023812714154197324,1,0.0,0.18963101354507228,0,0,0.033685064935064846,0,0,,0,0,,0,0
2025-10-05,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,4.282e-05,-0.1594032194738908,-0.43768877216021007,0.0,0.0,0.8530332484749292,0.8530332484749292,0.057991592894957256,3455.82,0.6753460186644045,-0.9684231503623348,21734.906666666666,43661.5725,0.07914833694235492,54800.03,-0.0462772811538229,-0.16780566875889513,0.06306122348430312,58.95,0.0,2.0,0,0.0,0,0.0,0.0,,,0.0,0.0,-6.642499113914053e-07,1.0713467888518228e-06,-1.735596700243228e-06,6.181000000000002e-05,0.0,33.333289502577905,0.6077996086808801,,,,0.4977926270071848,0.0,0.3733508833718519,1279773517.5770257,1.6407860746908025,0.9961428173460855,0.26969765110080585,1.3669865649807968,0.06306122348430312,0.6227178229992971,1.245558040423327e-10,1.1775719415452914,,,,1.1945912109812802e-05,0.0008414684043353143,,0,0.15351459075844842,,58.95,,,0.0,,0.0,0.0,0.0,0,0.0,50,50,50,0,0,1,0,0,50.0,0,0,1,0.5,0.1306030859351631,0,1,0,0,25,-0.1594029065510275,0.0,-0.10869740618442403,0.5162136376243774,0.14285714285714285,1,-0.7071067802665624,0.004589938134273952,0,0.008284513270708178,1,15.269029704072416,-0.4053603666157478,0,1,,0,0,,0,0,,0,0
