date,address,symbol,signal,score,vol_mom_3v1,vol_mom_5v3,zscore_vol_10d,zscore_liq_10d,vol_3d,liq_3d,presence_7d,presence_30d,current_streak_days,name,top_10_holders_pct,top_5_holders_pct,holder_concentration,concentration_risk
2025-10-03,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,ELIZABETH,Watch,1.19,1.54,1.0,1.19,0.74,1125172.56,156609.0033333333,0,0,0,Just Elizabeth Cat,,0.0,,unknown
2025-10-03,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,SHITTER,Watch,1.08,7.89,1.0,-1.4,1.08,150254.66,30285.43333333333,0,0,0,SHITTERCOIN,,0.0,,unknown
2025-10-03,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,RAGEGUY,Watch,1.0,1.52,1.0,1.0,1.0,189503.98,175650.05,0,0,0,Rage Guy,,0.0,,unknown
2025-10-03,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,LION,Watch,1.0,1.64,1.0,1.0,1.0,158959.36,2143794.535,0,0,0,Loaded Lions,,0.0,,unknown
2025-10-03,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,DREAM,Watch,1.0,8.54,1.0,-1.0,1.0,132523.72,200270.315,0,0,0,Dreamsync,,0.0,,unknown
2025-10-03,8AgJibpuXYU79bMSzhBv9BCUioxYkoeRVDYz3Tjopump,19,Watch,1.0,1.07,1.0,1.0,1.0,9674.65,9152.135,0,0,0,Cult of 19,,0.0,,unknown
2025-10-03,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,FARTWORM,Watch,1.0,1.66,1.0,1.0,-1.0,5427.12,17955.615,0,0,0,FARTWORM,,0.0,,unknown
2025-10-03,4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,DARE,Watch,1.0,1.78,1.0,1.0,1.0,3132.22,14020.41,0,0,0,DareCoin,,0.0,,unknown
2025-10-03,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,$CrepSol,Watch,1.0,2.56,1.0,-1.0,1.0,2774.14,21756.74,0,0,0,Crepe on Solana,,0.0,,unknown
2025-10-03,8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,1,Watch,1.0,10.73,1.0,-1.0,1.0,10701.78,14764.42,0,0,0,1 pill can change your life,,0.0,,unknown
2025-10-03,HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,Hosico,Watch,1.0,2.38,1.0,-1.0,1.0,1998.87,9844.355,0,0,0,Hosico Cat,,0.0,,unknown
2025-10-03,LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,SUPRACOIN,Watch,1.0,2.05,1.0,-1.0,1.0,1343.64,14809.4,0,0,0,GIVING CAR AWAY AT 10MIL MC!,,0.0,,unknown
2025-10-03,4Y6HDaV4374KstQX8qD1L35WiQDwHZaHLez8xs6GrKcf,REVIVE,Watch,1.0,1.03,1.0,1.0,1.0,122.54,11435.01,0,0,0,reviving the memes,,0.0,,unknown
2025-10-03,Fk6e19okXWGxtrHmXBLzkFeDPR2uuyeVYsqGyt89pump,GAZABOY,Watch,1.0,1.05,1.0,1.0,1.0,120.04,8637.32,0,0,0,GAZA BOY,,0.0,,unknown
2025-10-03,8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,PILL,Watch,1.0,1.46,1.0,1.0,1.0,154.03,11423.76,0,0,0,PumpFun Pill,,0.0,,unknown
